Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:47:32,2,1,-71,15.42
2025-06-12 11:47:33,2,1,-76,16.40
2025-06-12 11:47:34,2,1,-78,17.58
2025-06-12 11:47:35,2,1,-74,18.26
2025-06-12 11:47:36,2,1,-73,18.74
2025-06-12 11:47:37,2,1,-72,18.98
2025-06-12 11:47:32,2,2,-76,20.56
2025-06-12 11:47:33,2,2,-75,21.23
2025-06-12 11:47:34,2,2,-76,22.04
2025-06-12 11:47:36,2,2,-77,24.16
2025-06-12 11:47:37,2,2,-78,25.21
2025-06-12 11:47:32,2,3,-62,4.46
2025-06-12 11:47:33,2,3,-74,5.29
2025-06-12 11:47:34,2,3,-73,6.16
2025-06-12 11:47:35,2,3,-70,6.92
2025-06-12 11:47:36,2,3,-62,6.74
2025-06-12 11:47:37,2,3,-61,6.46
2025-06-12 11:47:32,2,4,-69,11.07
2025-06-12 11:47:33,2,4,-72,11.74
2025-06-12 11:47:34,2,4,-74,12.59
2025-06-12 11:47:35,2,4,-73,13.35
2025-06-12 11:47:36,2,4,-65,12.60
2025-06-12 11:47:37,2,4,-65,12.01
2025-06-12 11:47:32,2,5,-46,0.76
2025-06-12 11:47:33,2,5,-55,1.02
2025-06-12 11:47:34,2,5,-53,1.22
2025-06-12 11:47:36,2,5,-45,0.97
2025-06-12 11:47:37,2,5,-45,0.80
2025-06-12 11:47:32,2,6,-36,0.24
2025-06-12 11:47:33,2,6,-35,0.21
2025-06-12 11:47:34,2,6,-35,0.20
2025-06-12 11:47:35,2,6,-36,0.21
2025-06-12 11:47:36,2,6,-34,0.18
2025-06-12 11:47:37,2,6,-34,0.17
2025-06-12 11:47:32,2,7,-50,1.54
2025-06-12 11:47:33,2,7,-54,1.67
2025-06-12 11:47:34,2,7,-54,1.78
2025-06-12 11:47:35,2,7,-54,1.87
2025-06-12 11:47:36,2,7,-49,1.59
2025-06-12 11:47:37,2,7,-49,1.44
2025-06-12 11:47:32,2,8,-60,4.43
2025-06-12 11:47:33,2,8,-59,4.36
2025-06-12 11:47:34,2,8,-58,4.20
2025-06-12 11:47:35,2,8,-62,4.44
2025-06-12 11:47:36,2,8,-60,4.48
2025-06-12 11:47:37,2,8,-63,4.77
Summary,2,1,-71,-74
Summary,2,2,-75,-76
Summary,2,3,-61,-67
Summary,2,4,-65,-69
Summary,2,5,-45,-48
Summary,2,6,-34,-35
Summary,2,7,-49,-51
Summary,2,8,-58,-60
