Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:44:10,2,1,-70,18.06
2025-06-12 11:44:11,2,1,-71,18.14
2025-06-12 11:44:12,2,1,-72,18.40
2025-06-12 11:44:13,2,1,-77,19.35
2025-06-12 11:44:14,2,1,-72,19.53
2025-06-12 11:44:10,2,2,-77,20.57
2025-06-12 11:44:11,2,2,-77,21.51
2025-06-12 11:44:12,2,2,-74,21.95
2025-06-12 11:44:13,2,2,-75,22.56
2025-06-12 11:44:14,2,2,-76,23.31
2025-06-12 11:44:10,2,3,-62,5.16
2025-06-12 11:44:11,2,3,-61,5.18
2025-06-12 11:44:12,2,3,-61,5.20
2025-06-12 11:44:13,2,3,-61,5.21
2025-06-12 11:44:14,2,3,-61,5.22
2025-06-12 11:44:10,2,4,-67,9.68
2025-06-12 11:44:11,2,4,-66,9.72
2025-06-12 11:44:12,2,4,-67,9.91
2025-06-12 11:44:13,2,4,-67,10.08
2025-06-12 11:44:14,2,4,-67,10.22
2025-06-12 11:44:10,2,5,-42,0.74
2025-06-12 11:44:11,2,5,-42,0.61
2025-06-12 11:44:12,2,5,-44,0.60
2025-06-12 11:44:13,2,5,-43,0.57
2025-06-12 11:44:14,2,5,-42,0.52
2025-06-12 11:44:10,2,6,-48,1.10
2025-06-12 11:44:11,2,6,-47,1.02
2025-06-12 11:44:12,2,6,-47,0.97
2025-06-12 11:44:13,2,6,-47,0.94
2025-06-12 11:44:14,2,6,-47,0.92
2025-06-12 11:44:10,2,7,-67,4.75
2025-06-12 11:44:11,2,7,-66,5.29
2025-06-12 11:44:12,2,7,-65,5.71
2025-06-12 11:44:13,2,7,-67,6.26
2025-06-12 11:44:14,2,7,-63,6.35
2025-06-12 11:44:10,2,8,-68,11.13
2025-06-12 11:44:11,2,8,-68,11.32
2025-06-12 11:44:12,2,8,-71,11.90
2025-06-12 11:44:13,2,8,-69,12.17
2025-06-12 11:44:14,2,8,-68,12.26
Summary,2,1,-70,-72
Summary,2,2,-74,-75
Summary,2,3,-61,-61
Summary,2,4,-66,-66
Summary,2,5,-42,-42
Summary,2,6,-47,-47
Summary,2,7,-63,-65
Summary,2,8,-68,-68
