Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:22:30,2,1,-56,3.09
2025-06-12 11:22:31,2,1,-58,3.19
2025-06-12 11:22:32,2,1,-59,3.34
2025-06-12 11:22:33,2,1,-60,3.55
2025-06-12 11:22:34,2,1,-59,3.64
2025-06-12 11:22:30,2,2,-59,4.11
2025-06-12 11:22:31,2,2,-55,3.64
2025-06-12 11:22:32,2,2,-57,3.54
2025-06-12 11:22:33,2,2,-59,3.63
2025-06-12 11:22:34,2,2,-58,3.63
2025-06-12 11:22:30,2,3,-39,0.41
2025-06-12 11:22:31,2,3,-43,0.46
2025-06-12 11:22:32,2,3,-41,0.43
2025-06-12 11:22:33,2,3,-41,0.42
2025-06-12 11:22:34,2,3,-42,0.44
2025-06-12 11:22:30,2,4,-65,7.26
2025-06-12 11:22:31,2,4,-66,7.58
2025-06-12 11:22:32,2,4,-69,8.17
2025-06-12 11:22:33,2,4,-67,8.51
2025-06-12 11:22:34,2,4,-68,8.95
2025-06-12 11:22:30,2,5,-54,2.87
2025-06-12 11:22:31,2,5,-55,2.77
2025-06-12 11:22:32,2,5,-59,2.97
2025-06-12 11:22:33,2,5,-58,3.09
2025-06-12 11:22:34,2,5,-57,3.10
2025-06-12 11:22:30,2,6,-56,2.75
2025-06-12 11:22:31,2,6,-58,2.90
2025-06-12 11:22:32,2,6,-57,2.95
2025-06-12 11:22:33,2,6,-60,3.21
2025-06-12 11:22:34,2,6,-62,3.56
2025-06-12 11:22:30,2,7,-73,16.55
2025-06-12 11:22:31,2,7,-77,17.67
2025-06-12 11:22:32,2,7,-75,18.53
2025-06-12 11:22:33,2,7,-74,19.18
2025-06-12 11:22:34,2,7,-75,19.97
2025-06-12 11:22:30,2,8,-66,8.97
2025-06-12 11:22:31,2,8,-68,9.32
2025-06-12 11:22:32,2,8,-69,9.76
2025-06-12 11:22:33,2,8,-63,9.26
2025-06-12 11:22:34,2,8,-65,9.20
Summary,2,1,-56,-58
Summary,2,2,-55,-57
Summary,2,3,-39,-41
Summary,2,4,-65,-67
Summary,2,5,-54,-56
Summary,2,6,-56,-58
Summary,2,7,-73,-74
Summary,2,8,-63,-66
