Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:08:10,2,1,-45,0.78
2025-06-12 11:08:11,2,1,-45,0.74
2025-06-12 11:08:12,2,1,-53,0.96
2025-06-12 11:08:13,2,1,-51,1.10
2025-06-12 11:08:14,2,1,-46,0.96
2025-06-12 11:08:15,2,1,-43,0.75
2025-06-12 11:08:10,2,2,-58,3.19
2025-06-12 11:08:11,2,2,-59,3.34
2025-06-12 11:08:12,2,2,-63,3.73
2025-06-12 11:08:13,2,2,-64,4.17
2025-06-12 11:08:14,2,2,-58,4.04
2025-06-12 11:08:15,2,2,-56,3.72
2025-06-12 11:08:10,2,3,-54,2.64
2025-06-12 11:08:11,2,3,-54,2.51
2025-06-12 11:08:12,2,3,-52,2.26
2025-06-12 11:08:13,2,3,-53,2.16
2025-06-12 11:08:14,2,3,-51,1.94
2025-06-12 11:08:15,2,3,-50,1.73
2025-06-12 11:08:10,2,4,-79,20.76
2025-06-12 11:08:11,2,4,-72,20.83
2025-06-12 11:08:12,2,4,-68,19.74
2025-06-12 11:08:13,2,4,-63,16.86
2025-06-12 11:08:14,2,4,-64,15.22
2025-06-12 11:08:15,2,4,-77,16.17
2025-06-12 11:08:10,2,5,-68,6.87
2025-06-12 11:08:11,2,5,-68,7.40
2025-06-12 11:08:12,2,5,-60,6.80
2025-06-12 11:08:13,2,5,-65,7.04
2025-06-12 11:08:14,2,5,-65,7.25
2025-06-12 11:08:15,2,5,-63,7.18
2025-06-12 11:08:10,2,6,-71,12.14
2025-06-12 11:08:11,2,6,-72,12.80
2025-06-12 11:08:12,2,6,-67,12.61
2025-06-12 11:08:13,2,6,-65,12.01
2025-06-12 11:08:14,2,6,-66,11.74
2025-06-12 11:08:15,2,6,-73,12.49
2025-06-12 11:08:11,2,7,-76,55.94
2025-06-12 11:08:12,2,7,-73,24.48
2025-06-12 11:08:13,2,7,-72,21.54
2025-06-12 11:08:14,2,7,-81,49.04
2025-06-12 11:08:15,2,7,-80,49.56
2025-06-12 11:08:10,2,8,-75,29.88
2025-06-12 11:08:11,2,8,-76,30.26
2025-06-12 11:08:12,2,8,-73,29.74
2025-06-12 11:08:13,2,8,-70,28.11
2025-06-12 11:08:14,2,8,-74,28.08
2025-06-12 11:08:15,2,8,-84,29.68
Summary,2,1,-43,-47
Summary,2,2,-56,-59
Summary,2,3,-50,-52
Summary,2,4,-63,-70
Summary,2,5,-60,-64
Summary,2,6,-65,-69
Summary,2,7,-72,-76
Summary,2,8,-70,-75
