Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:48:32,2,1,-72,22.03
2025-06-12 11:48:33,2,1,-72,21.98
2025-06-12 11:48:34,2,1,-76,22.77
2025-06-12 11:48:35,2,1,-74,23.14
2025-06-12 11:48:36,2,1,-72,22.99
2025-06-12 11:48:32,2,2,-67,15.10
2025-06-12 11:48:33,2,2,-74,15.84
2025-06-12 11:48:34,2,2,-71,16.10
2025-06-12 11:48:35,2,2,-68,15.71
2025-06-12 11:48:36,2,2,-68,15.38
2025-06-12 11:48:32,2,3,-72,10.55
2025-06-12 11:48:33,2,3,-74,11.44
2025-06-12 11:48:34,2,3,-75,12.41
2025-06-12 11:48:35,2,3,-74,13.30
2025-06-12 11:48:36,2,3,-72,13.93
2025-06-12 11:48:32,2,4,-66,10.35
2025-06-12 11:48:33,2,4,-65,10.13
2025-06-12 11:48:34,2,4,-66,10.11
2025-06-12 11:48:35,2,4,-67,10.25
2025-06-12 11:48:36,2,4,-68,10.52
2025-06-12 11:48:32,2,5,-53,2.06
2025-06-12 11:48:33,2,5,-53,2.02
2025-06-12 11:48:34,2,5,-52,1.92
2025-06-12 11:48:32,2,6,-54,1.27
2025-06-12 11:48:33,2,6,-52,1.38
2025-06-12 11:48:34,2,6,-52,1.46
2025-06-12 11:48:35,2,6,-52,1.51
2025-06-12 11:48:36,2,6,-52,1.56
2025-06-12 11:48:32,2,7,-54,2.27
2025-06-12 11:48:33,2,7,-53,2.17
2025-06-12 11:48:34,2,7,-54,2.17
2025-06-12 11:48:35,2,7,-54,2.16
2025-06-12 11:48:36,2,7,-54,2.16
2025-06-12 11:48:32,2,8,-59,2.69
2025-06-12 11:48:33,2,8,-62,3.09
2025-06-12 11:48:34,2,8,-59,3.27
2025-06-12 11:48:35,2,8,-58,3.33
2025-06-12 11:48:36,2,8,-55,3.10
Summary,2,1,-72,-73
Summary,2,2,-67,-69
Summary,2,3,-72,-73
Summary,2,4,-65,-66
Summary,2,5,-52,-52
Summary,2,6,-52,-52
Summary,2,7,-53,-53
Summary,2,8,-55,-58
