Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:06:49,2,1,-42,0.42
2025-06-12 11:06:50,2,1,-42,0.44
2025-06-12 11:06:51,2,1,-42,0.45
2025-06-12 11:06:52,2,1,-42,0.46
2025-06-12 11:06:53,2,1,-42,0.46
2025-06-12 11:06:54,2,1,-42,0.46
2025-06-12 11:06:49,2,2,-60,6.23
2025-06-12 11:06:50,2,2,-67,6.80
2025-06-12 11:06:51,2,2,-64,6.94
2025-06-12 11:06:52,2,2,-67,7.42
2025-06-12 11:06:53,2,2,-66,7.74
2025-06-12 11:06:54,2,2,-66,8.02
2025-06-12 11:06:49,2,3,-58,4.36
2025-06-12 11:06:50,2,3,-61,4.50
2025-06-12 11:06:51,2,3,-64,4.86
2025-06-12 11:06:52,2,3,-60,4.82
2025-06-12 11:06:53,2,3,-74,5.64
2025-06-12 11:06:54,2,3,-63,5.81
2025-06-12 11:06:49,2,4,-75,31.07
2025-06-12 11:06:50,2,4,-76,31.37
2025-06-12 11:06:51,2,4,-76,31.66
2025-06-12 11:06:52,2,4,-80,32.76
2025-06-12 11:06:53,2,4,-82,34.17
2025-06-12 11:06:49,2,5,-63,9.28
2025-06-12 11:06:50,2,5,-64,9.05
2025-06-12 11:06:51,2,5,-70,9.61
2025-06-12 11:06:52,2,5,-65,9.50
2025-06-12 11:06:53,2,5,-64,9.23
2025-06-12 11:06:54,2,5,-63,8.83
2025-06-12 11:06:49,2,6,-66,10.12
2025-06-12 11:06:50,2,6,-66,10.10
2025-06-12 11:06:51,2,6,-63,9.55
2025-06-12 11:06:52,2,6,-69,9.97
2025-06-12 11:06:53,2,6,-73,10.75
2025-06-12 11:06:54,2,6,-65,10.47
2025-06-12 11:06:49,2,7,-79,59.21
2025-06-12 11:06:50,2,7,-80,59.25
2025-06-12 11:06:51,2,7,-77,57.86
2025-06-12 11:06:52,2,7,-79,57.57
2025-06-12 11:06:53,2,7,-77,56.34
2025-06-12 11:06:54,2,7,-77,55.22
2025-06-12 11:06:49,2,8,-77,45.31
2025-06-12 11:06:50,2,8,-76,44.60
2025-06-12 11:06:51,2,8,-76,43.95
2025-06-12 11:06:53,2,8,-77,43.75
2025-06-12 11:06:54,2,8,-78,43.93
Summary,2,1,-42,-42
Summary,2,2,-60,-65
Summary,2,3,-58,-63
Summary,2,4,-75,-77
Summary,2,5,-63,-64
Summary,2,6,-63,-67
Summary,2,7,-77,-78
Summary,2,8,-76,-76
