Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:54:10,2,1,-78,52.01
2025-06-12 11:54:11,2,1,-77,51.25
2025-06-12 11:54:12,2,1,-77,50.54
2025-06-12 11:54:13,2,1,-78,50.30
2025-06-12 11:54:14,2,1,-78,50.07
2025-06-12 11:54:10,2,2,-75,33.02
2025-06-12 11:54:11,2,2,-76,33.21
2025-06-12 11:54:12,2,2,-78,33.91
2025-06-12 11:54:13,2,2,-77,34.32
2025-06-12 11:54:14,2,2,-76,34.43
2025-06-12 11:54:10,2,3,-68,16.59
2025-06-12 11:54:11,2,3,-71,16.80
2025-06-12 11:54:12,2,3,-73,17.33
2025-06-12 11:54:13,2,3,-72,17.66
2025-06-12 11:54:14,2,3,-69,17.32
2025-06-12 11:54:10,2,4,-75,30.62
2025-06-12 11:54:11,2,4,-79,31.54
2025-06-12 11:54:12,2,4,-80,32.62
2025-06-12 11:54:13,2,4,-79,33.51
2025-06-12 11:54:14,2,4,-75,33.37
2025-06-12 11:54:10,2,5,-55,5.25
2025-06-12 11:54:11,2,5,-54,4.30
2025-06-12 11:54:12,2,5,-54,3.70
2025-06-12 11:54:13,2,5,-56,3.50
2025-06-12 11:54:14,2,5,-54,3.14
2025-06-12 11:54:10,2,6,-55,1.59
2025-06-12 11:54:11,2,6,-53,1.67
2025-06-12 11:54:12,2,6,-53,1.73
2025-06-12 11:54:13,2,6,-53,1.77
2025-06-12 11:54:14,2,6,-50,1.61
2025-06-12 11:54:10,2,7,-48,1.20
2025-06-12 11:54:11,2,7,-47,1.08
2025-06-12 11:54:12,2,7,-47,1.00
2025-06-12 11:54:13,2,7,-47,0.96
2025-06-12 11:54:14,2,7,-47,0.93
2025-06-12 11:54:10,2,8,-58,2.63
2025-06-12 11:54:11,2,8,-54,2.50
2025-06-12 11:54:12,2,8,-57,2.63
2025-06-12 11:54:13,2,8,-57,2.74
2025-06-12 11:54:14,2,8,-57,2.82
Summary,2,1,-77,-77
Summary,2,2,-75,-76
Summary,2,3,-68,-70
Summary,2,4,-75,-77
Summary,2,5,-54,-54
Summary,2,6,-50,-52
Summary,2,7,-47,-47
Summary,2,8,-54,-56
