Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:40:42,2,1,-74,16.58
2025-06-12 11:40:43,2,1,-72,16.99
2025-06-12 11:40:44,2,1,-69,16.72
2025-06-12 11:40:45,2,1,-70,16.72
2025-06-12 11:40:46,2,1,-68,16.23
2025-06-12 11:40:47,2,1,-67,15.56
2025-06-12 11:40:42,2,2,-73,11.31
2025-06-12 11:40:43,2,2,-73,12.15
2025-06-12 11:40:44,2,2,-78,13.39
2025-06-12 11:40:45,2,2,-73,14.17
2025-06-12 11:40:47,2,2,-73,14.91
2025-06-12 11:40:42,2,3,-54,2.81
2025-06-12 11:40:43,2,3,-53,2.55
2025-06-12 11:40:44,2,3,-52,2.28
2025-06-12 11:40:45,2,3,-52,2.11
2025-06-12 11:40:46,2,3,-53,2.05
2025-06-12 11:40:47,2,3,-53,2.01
2025-06-12 11:40:42,2,4,-48,1.15
2025-06-12 11:40:43,2,4,-48,1.10
2025-06-12 11:40:44,2,4,-46,0.97
2025-06-12 11:40:45,2,4,-47,0.94
2025-06-12 11:40:46,2,4,-48,0.96
2025-06-12 11:40:47,2,4,-43,0.75
2025-06-12 11:40:42,2,5,-41,0.46
2025-06-12 11:40:43,2,5,-41,0.43
2025-06-12 11:40:44,2,5,-40,0.40
2025-06-12 11:40:45,2,5,-43,0.45
2025-06-12 11:40:46,2,5,-44,0.51
2025-06-12 11:40:47,2,5,-45,0.57
2025-06-12 11:40:42,2,6,-54,2.07
2025-06-12 11:40:43,2,6,-56,2.22
2025-06-12 11:40:44,2,6,-58,2.45
2025-06-12 11:40:45,2,6,-58,2.66
2025-06-12 11:40:46,2,6,-58,2.83
2025-06-12 11:40:47,2,6,-58,2.98
2025-06-12 11:40:42,2,7,-65,12.66
2025-06-12 11:40:43,2,7,-66,12.31
2025-06-12 11:40:44,2,7,-66,12.01
2025-06-12 11:40:45,2,7,-66,11.75
2025-06-12 11:40:46,2,7,-68,11.87
2025-06-12 11:40:47,2,7,-67,11.81
2025-06-12 11:40:42,2,8,-70,10.99
2025-06-12 11:40:43,2,8,-72,11.75
2025-06-12 11:40:44,2,8,-71,12.35
2025-06-12 11:40:45,2,8,-73,13.16
2025-06-12 11:40:46,2,8,-72,13.81
2025-06-12 11:40:47,2,8,-72,14.42
Summary,2,1,-67,-70
Summary,2,2,-73,-74
Summary,2,3,-52,-52
Summary,2,4,-43,-46
Summary,2,5,-40,-42
Summary,2,6,-54,-57
Summary,2,7,-65,-66
Summary,2,8,-70,-71
