Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:40:03,2,1,-63,8.99
2025-06-12 11:40:04,2,1,-67,9.24
2025-06-12 11:40:05,2,1,-65,9.18
2025-06-12 11:40:06,2,1,-65,9.13
2025-06-12 11:40:07,2,1,-66,9.23
2025-06-12 11:40:03,2,2,-61,6.44
2025-06-12 11:40:04,2,2,-60,6.10
2025-06-12 11:40:05,2,2,-61,5.97
2025-06-12 11:40:06,2,2,-59,5.58
2025-06-12 11:40:07,2,2,-58,5.14
2025-06-12 11:40:03,2,3,-54,3.43
2025-06-12 11:40:04,2,3,-62,3.91
2025-06-12 11:40:05,2,3,-63,4.37
2025-06-12 11:40:06,2,3,-63,4.75
2025-06-12 11:40:07,2,3,-64,5.16
2025-06-12 11:40:03,2,4,-64,3.79
2025-06-12 11:40:04,2,4,-58,3.75
2025-06-12 11:40:05,2,4,-58,3.71
2025-06-12 11:40:06,2,4,-60,3.87
2025-06-12 11:40:07,2,4,-62,4.16
2025-06-12 11:40:03,2,5,-45,0.79
2025-06-12 11:40:04,2,5,-44,0.71
2025-06-12 11:40:05,2,5,-44,0.66
2025-06-12 11:40:06,2,5,-47,0.73
2025-06-12 11:40:07,2,5,-49,0.85
2025-06-12 11:40:03,2,6,-51,1.69
2025-06-12 11:40:04,2,6,-51,1.63
2025-06-12 11:40:05,2,6,-50,1.52
2025-06-12 11:40:06,2,6,-50,1.45
2025-06-12 11:40:07,2,6,-51,1.45
2025-06-12 11:40:04,2,7,-74,20.35
2025-06-12 11:40:05,2,7,-74,20.98
2025-06-12 11:40:06,2,7,-75,21.76
2025-06-12 11:40:07,2,7,-75,22.48
2025-06-12 11:40:03,2,8,-66,11.17
2025-06-12 11:40:04,2,8,-64,10.60
2025-06-12 11:40:05,2,8,-65,10.35
2025-06-12 11:40:06,2,8,-65,10.13
2025-06-12 11:40:07,2,8,-64,9.76
Summary,2,1,-63,-65
Summary,2,2,-58,-59
Summary,2,3,-54,-61
Summary,2,4,-58,-60
Summary,2,5,-44,-45
Summary,2,6,-50,-50
Summary,2,7,-74,-74
Summary,2,8,-64,-64
