Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:58:05,2,1,-77,40.66
2025-06-12 11:58:06,2,1,-76,40.32
2025-06-12 11:58:07,2,1,-74,39.20
2025-06-12 11:58:08,2,1,-74,38.20
2025-06-12 11:58:09,2,1,-74,37.31
2025-06-12 11:58:05,2,2,-70,15.73
2025-06-12 11:58:06,2,2,-74,16.47
2025-06-12 11:58:07,2,2,-72,16.88
2025-06-12 11:58:08,2,2,-73,17.43
2025-06-12 11:58:09,2,2,-75,18.25
2025-06-12 11:58:05,2,3,-66,18.59
2025-06-12 11:58:06,2,3,-65,16.72
2025-06-12 11:58:07,2,3,-66,15.66
2025-06-12 11:58:08,2,3,-63,13.86
2025-06-12 11:58:09,2,3,-63,12.55
2025-06-12 11:58:05,2,4,-74,30.78
2025-06-12 11:58:06,2,4,-74,30.54
2025-06-12 11:58:07,2,4,-75,30.62
2025-06-12 11:58:08,2,4,-75,30.69
2025-06-12 11:58:09,2,4,-75,30.75
2025-06-12 11:58:05,2,5,-60,3.94
2025-06-12 11:58:06,2,5,-58,3.87
2025-06-12 11:58:07,2,5,-62,4.15
2025-06-12 11:58:08,2,5,-58,4.03
2025-06-12 11:58:09,2,5,-58,3.94
2025-06-12 11:58:05,2,6,-51,2.10
2025-06-12 11:58:06,2,6,-50,1.83
2025-06-12 11:58:07,2,6,-51,1.72
2025-06-12 11:58:08,2,6,-51,1.65
2025-06-12 11:58:09,2,6,-50,1.53
2025-06-12 11:58:05,2,7,-61,7.77
2025-06-12 11:58:06,2,7,-61,7.21
2025-06-12 11:58:07,2,7,-61,6.82
2025-06-12 11:58:08,2,7,-60,6.35
2025-06-12 11:58:09,2,7,-61,6.16
2025-06-12 11:58:05,2,8,-51,1.56
2025-06-12 11:58:06,2,8,-49,1.41
2025-06-12 11:58:07,2,8,-48,1.26
2025-06-12 11:58:08,2,8,-50,1.27
2025-06-12 11:58:09,2,8,-50,1.28
Summary,2,1,-74,-75
Summary,2,2,-70,-72
Summary,2,3,-63,-64
Summary,2,4,-74,-74
Summary,2,5,-58,-59
Summary,2,6,-50,-50
Summary,2,7,-60,-60
Summary,2,8,-48,-49
