Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:17:43,2,1,-59,4.08
2025-06-12 11:17:44,2,1,-57,3.87
2025-06-12 11:17:45,2,1,-58,3.82
2025-06-12 11:17:46,2,1,-58,3.77
2025-06-12 11:17:47,2,1,-59,3.83
2025-06-12 11:17:43,2,2,-58,2.86
2025-06-12 11:17:44,2,2,-58,2.99
2025-06-12 11:17:45,2,2,-58,3.11
2025-06-12 11:17:46,2,2,-58,3.20
2025-06-12 11:17:43,2,3,-37,0.26
2025-06-12 11:17:44,2,3,-40,0.31
2025-06-12 11:17:45,2,3,-40,0.33
2025-06-12 11:17:46,2,3,-38,0.30
2025-06-12 11:17:47,2,3,-37,0.27
2025-06-12 11:17:43,2,4,-66,8.86
2025-06-12 11:17:44,2,4,-70,9.45
2025-06-12 11:17:45,2,4,-71,10.11
2025-06-12 11:17:46,2,4,-72,10.85
2025-06-12 11:17:47,2,4,-72,11.58
2025-06-12 11:17:43,2,5,-60,5.75
2025-06-12 11:17:44,2,5,-61,5.67
2025-06-12 11:17:45,2,5,-61,5.60
2025-06-12 11:17:46,2,5,-62,5.66
2025-06-12 11:17:47,2,5,-61,5.59
2025-06-12 11:17:43,2,6,-64,5.59
2025-06-12 11:17:44,2,6,-67,6.13
2025-06-12 11:17:45,2,6,-61,5.97
2025-06-12 11:17:46,2,6,-58,5.38
2025-06-12 11:17:47,2,6,-60,5.25
2025-06-12 11:17:43,2,7,-73,22.09
2025-06-12 11:17:44,2,7,-73,22.28
2025-06-12 11:17:45,2,7,-73,22.46
2025-06-12 11:17:46,2,7,-71,22.10
2025-06-12 11:17:47,2,7,-71,21.79
2025-06-12 11:17:43,2,8,-65,11.21
2025-06-12 11:17:44,2,8,-69,11.53
2025-06-12 11:17:45,2,8,-67,11.51
2025-06-12 11:17:46,2,8,-67,11.49
2025-06-12 11:17:47,2,8,-71,12.04
Summary,2,1,-57,-58
Summary,2,2,-58,-58
Summary,2,3,-37,-38
Summary,2,4,-66,-70
Summary,2,5,-60,-61
Summary,2,6,-58,-62
Summary,2,7,-71,-72
Summary,2,8,-65,-67
