Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:13:15,2,1,-55,1.88
2025-06-12 11:13:16,2,1,-56,2.06
2025-06-12 11:13:17,2,1,-57,2.27
2025-06-12 11:13:18,2,1,-57,2.44
2025-06-12 11:13:19,2,1,-56,2.52
2025-06-12 11:13:15,2,2,-57,2.46
2025-06-12 11:13:16,2,2,-55,2.46
2025-06-12 11:13:17,2,2,-53,2.29
2025-06-12 11:13:18,2,2,-53,2.18
2025-06-12 11:13:19,2,2,-53,2.11
2025-06-12 11:13:15,2,3,-47,1.76
2025-06-12 11:13:16,2,3,-48,1.48
2025-06-12 11:13:17,2,3,-51,1.47
2025-06-12 11:13:18,2,3,-50,1.42
2025-06-12 11:13:19,2,3,-48,1.27
2025-06-12 11:13:15,2,4,-66,11.12
2025-06-12 11:13:17,2,4,-67,11.15
2025-06-12 11:13:18,2,4,-72,12.03
2025-06-12 11:13:19,2,4,-65,11.43
2025-06-12 11:13:15,2,5,-59,4.97
2025-06-12 11:13:16,2,5,-61,5.02
2025-06-12 11:13:17,2,5,-60,4.95
2025-06-12 11:13:18,2,5,-60,4.90
2025-06-12 11:13:19,2,5,-60,4.85
2025-06-12 11:13:15,2,6,-61,6.05
2025-06-12 11:13:16,2,6,-61,5.92
2025-06-12 11:13:17,2,6,-61,5.80
2025-06-12 11:13:18,2,6,-63,5.94
2025-06-12 11:13:19,2,6,-61,5.83
2025-06-12 11:13:15,2,7,-69,24.29
2025-06-12 11:13:16,2,7,-73,24.30
2025-06-12 11:13:17,2,7,-78,25.33
2025-06-12 11:13:18,2,7,-74,25.53
2025-06-12 11:13:19,2,7,-76,26.16
2025-06-12 11:13:15,2,8,-69,17.81
2025-06-12 11:13:16,2,8,-69,17.45
2025-06-12 11:13:17,2,8,-72,17.78
2025-06-12 11:13:18,2,8,-68,17.16
2025-06-12 11:13:19,2,8,-68,16.63
Summary,2,1,-55,-56
Summary,2,2,-53,-54
Summary,2,3,-47,-48
Summary,2,4,-65,-67
Summary,2,5,-59,-60
Summary,2,6,-61,-61
Summary,2,7,-69,-74
Summary,2,8,-68,-69
