Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:59:00,2,2,-77,34.04
2025-06-12 11:59:01,2,2,-73,33.06
2025-06-12 11:59:02,2,2,-77,33.54
2025-06-12 11:59:03,2,2,-79,34.47
2025-06-12 11:59:04,2,2,-75,34.24
2025-06-12 11:59:00,2,3,-69,17.52
2025-06-12 11:59:01,2,3,-67,16.69
2025-06-12 11:59:03,2,3,-65,15.40
2025-06-12 11:59:04,2,3,-66,14.45
2025-06-12 11:59:00,2,4,-78,35.26
2025-06-12 11:59:01,2,4,-77,35.59
2025-06-12 11:59:02,2,4,-79,36.41
2025-06-12 11:59:03,2,4,-77,36.69
2025-06-12 11:59:04,2,4,-77,36.95
2025-06-12 11:59:00,2,5,-64,8.32
2025-06-12 11:59:01,2,5,-65,8.38
2025-06-12 11:59:02,2,5,-67,8.69
2025-06-12 11:59:03,2,5,-67,8.97
2025-06-12 11:59:04,2,5,-66,9.09
2025-06-12 11:59:00,2,6,-50,1.70
2025-06-12 11:59:01,2,6,-49,1.50
2025-06-12 11:59:02,2,6,-49,1.38
2025-06-12 11:59:03,2,6,-50,1.35
2025-06-12 11:59:04,2,6,-53,1.48
2025-06-12 11:59:00,2,7,-63,6.00
2025-06-12 11:59:01,2,7,-61,5.87
2025-06-12 11:59:02,2,7,-65,6.21
2025-06-12 11:59:04,2,7,-62,6.17
2025-06-12 11:59:00,2,8,-49,1.20
2025-06-12 11:59:01,2,8,-50,1.23
2025-06-12 11:59:02,2,8,-51,1.30
2025-06-12 11:59:03,2,8,-51,1.35
2025-06-12 11:59:04,2,8,-53,1.48
Summary,2,2,-73,-76
Summary,2,3,-65,-66
Summary,2,4,-77,-77
Summary,2,5,-64,-65
Summary,2,6,-49,-50
Summary,2,7,-61,-62
Summary,2,8,-49,-50
