Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:40:25,2,1,-79,14.21
2025-06-12 11:40:26,2,1,-69,14.28
2025-06-12 11:40:27,2,1,-68,14.08
2025-06-12 11:40:28,2,1,-70,14.36
2025-06-12 11:40:29,2,1,-69,14.40
2025-06-12 11:40:25,2,2,-62,6.47
2025-06-12 11:40:26,2,2,-62,6.39
2025-06-12 11:40:27,2,2,-62,6.33
2025-06-12 11:40:28,2,2,-62,6.28
2025-06-12 11:40:29,2,2,-62,6.23
2025-06-12 11:40:25,2,3,-66,4.45
2025-06-12 11:40:26,2,3,-66,4.99
2025-06-12 11:40:27,2,3,-60,4.92
2025-06-12 11:40:28,2,3,-60,4.87
2025-06-12 11:40:29,2,3,-57,4.44
2025-06-12 11:40:25,2,4,-58,2.53
2025-06-12 11:40:26,2,4,-56,2.59
2025-06-12 11:40:27,2,4,-56,2.63
2025-06-12 11:40:28,2,4,-57,2.74
2025-06-12 11:40:29,2,4,-59,2.97
2025-06-12 11:40:25,2,5,-45,0.70
2025-06-12 11:40:26,2,5,-44,0.66
2025-06-12 11:40:27,2,5,-45,0.67
2025-06-12 11:40:28,2,5,-47,0.74
2025-06-12 11:40:29,2,5,-44,0.68
2025-06-12 11:40:25,2,6,-50,1.36
2025-06-12 11:40:26,2,6,-51,1.40
2025-06-12 11:40:27,2,6,-52,1.48
2025-06-12 11:40:28,2,6,-52,1.53
2025-06-12 11:40:29,2,6,-52,1.57
2025-06-12 11:40:25,2,7,-65,9.89
2025-06-12 11:40:26,2,7,-65,9.75
2025-06-12 11:40:27,2,7,-67,9.92
2025-06-12 11:40:28,2,7,-68,10.20
2025-06-12 11:40:29,2,7,-68,10.47
2025-06-12 11:40:25,2,8,-61,4.93
2025-06-12 11:40:26,2,8,-59,4.76
2025-06-12 11:40:27,2,8,-60,4.74
2025-06-12 11:40:28,2,8,-63,5.00
2025-06-12 11:40:29,2,8,-65,5.40
Summary,2,1,-68,-71
Summary,2,2,-62,-62
Summary,2,3,-57,-61
Summary,2,4,-56,-57
Summary,2,5,-44,-45
Summary,2,6,-50,-51
Summary,2,7,-65,-66
Summary,2,8,-59,-61
