Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:43:42,2,1,-77,31.86
2025-06-12 11:43:43,2,1,-78,32.63
2025-06-12 11:43:44,2,1,-73,31.84
2025-06-12 11:43:45,2,1,-78,32.60
2025-06-12 11:43:46,2,1,-80,33.74
2025-06-12 11:43:42,2,2,-76,30.73
2025-06-12 11:43:43,2,2,-78,31.51
2025-06-12 11:43:44,2,2,-76,31.80
2025-06-12 11:43:45,2,2,-73,31.12
2025-06-12 11:43:42,2,3,-68,10.18
2025-06-12 11:43:43,2,3,-70,10.70
2025-06-12 11:43:44,2,3,-71,11.31
2025-06-12 11:43:45,2,3,-65,10.93
2025-06-12 11:43:46,2,3,-65,10.62
2025-06-12 11:43:42,2,4,-63,6.78
2025-06-12 11:43:43,2,4,-64,6.91
2025-06-12 11:43:44,2,4,-61,6.61
2025-06-12 11:43:45,2,4,-62,6.51
2025-06-12 11:43:46,2,4,-61,6.29
2025-06-12 11:43:42,2,5,-47,0.96
2025-06-12 11:43:43,2,5,-49,1.01
2025-06-12 11:43:44,2,5,-50,1.09
2025-06-12 11:43:45,2,5,-51,1.20
2025-06-12 11:43:46,2,5,-51,1.27
2025-06-12 11:43:42,2,6,-46,0.88
2025-06-12 11:43:43,2,6,-51,1.03
2025-06-12 11:43:44,2,6,-48,1.02
2025-06-12 11:43:45,2,6,-50,1.10
2025-06-12 11:43:46,2,6,-56,1.37
2025-06-12 11:43:42,2,7,-55,3.44
2025-06-12 11:43:43,2,7,-54,3.07
2025-06-12 11:43:44,2,7,-59,3.24
2025-06-12 11:43:45,2,7,-61,3.52
2025-06-12 11:43:46,2,7,-61,3.77
2025-06-12 11:43:42,2,8,-71,10.62
2025-06-12 11:43:43,2,8,-66,10.54
2025-06-12 11:43:44,2,8,-67,10.63
2025-06-12 11:43:45,2,8,-67,10.71
2025-06-12 11:43:46,2,8,-67,10.79
Summary,2,1,-73,-77
Summary,2,2,-73,-75
Summary,2,3,-65,-67
Summary,2,4,-61,-62
Summary,2,5,-47,-49
Summary,2,6,-46,-50
Summary,2,7,-54,-58
Summary,2,8,-66,-67
