Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:40:59,2,1,-66,15.18
2025-06-12 11:41:00,2,1,-68,14.92
2025-06-12 11:41:01,2,1,-67,14.47
2025-06-12 11:41:02,2,1,-63,13.01
2025-06-12 11:41:03,2,1,-67,12.82
2025-06-12 11:40:59,2,2,-67,18.72
2025-06-12 11:41:00,2,2,-70,18.50
2025-06-12 11:41:01,2,2,-68,17.77
2025-06-12 11:41:02,2,2,-67,16.87
2025-06-12 11:41:03,2,2,-70,16.85
2025-06-12 11:40:59,2,3,-58,3.48
2025-06-12 11:41:00,2,3,-57,3.41
2025-06-12 11:41:01,2,3,-51,2.68
2025-06-12 11:41:03,2,3,-52,2.37
2025-06-12 11:40:59,2,4,-39,0.34
2025-06-12 11:41:00,2,4,-40,0.35
2025-06-12 11:41:01,2,4,-39,0.33
2025-06-12 11:41:02,2,4,-39,0.32
2025-06-12 11:41:03,2,4,-41,0.36
2025-06-12 11:40:59,2,5,-41,0.38
2025-06-12 11:41:00,2,5,-43,0.44
2025-06-12 11:41:01,2,5,-43,0.48
2025-06-12 11:41:02,2,5,-44,0.53
2025-06-12 11:41:03,2,5,-43,0.53
2025-06-12 11:40:59,2,6,-61,4.22
2025-06-12 11:41:00,2,6,-59,4.19
2025-06-12 11:41:01,2,6,-59,4.17
2025-06-12 11:41:02,2,6,-61,4.34
2025-06-12 11:41:03,2,6,-60,4.40
2025-06-12 11:40:59,2,7,-70,10.62
2025-06-12 11:41:00,2,7,-75,11.53
2025-06-12 11:41:01,2,7,-70,11.96
2025-06-12 11:41:02,2,7,-71,12.50
2025-06-12 11:40:59,2,8,-77,21.93
2025-06-12 11:41:00,2,8,-78,23.15
2025-06-12 11:41:01,2,8,-78,24.33
2025-06-12 11:41:02,2,8,-81,25.91
2025-06-12 11:41:03,2,8,-79,27.18
Summary,2,1,-63,-66
Summary,2,2,-67,-68
Summary,2,3,-51,-54
Summary,2,4,-39,-39
Summary,2,5,-41,-42
Summary,2,6,-59,-60
Summary,2,7,-70,-71
Summary,2,8,-77,-78
