Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:11:40,2,1,-50,1.22
2025-06-12 11:11:41,2,1,-50,1.24
2025-06-12 11:11:42,2,1,-50,1.26
2025-06-12 11:11:43,2,1,-51,1.32
2025-06-12 11:11:44,2,1,-55,1.53
2025-06-12 11:11:40,2,2,-47,0.85
2025-06-12 11:11:41,2,2,-47,0.86
2025-06-12 11:11:42,2,2,-47,0.87
2025-06-12 11:11:43,2,2,-50,0.98
2025-06-12 11:11:44,2,2,-49,1.03
2025-06-12 11:11:40,2,3,-52,1.87
2025-06-12 11:11:41,2,3,-51,1.75
2025-06-12 11:11:42,2,3,-52,1.73
2025-06-12 11:11:43,2,3,-52,1.71
2025-06-12 11:11:44,2,3,-49,1.51
2025-06-12 11:11:40,2,4,-69,13.40
2025-06-12 11:11:41,2,4,-70,13.67
2025-06-12 11:11:42,2,4,-73,14.32
2025-06-12 11:11:43,2,4,-72,14.83
2025-06-12 11:11:44,2,4,-73,15.45
2025-06-12 11:11:40,2,5,-60,7.86
2025-06-12 11:11:41,2,5,-63,7.69
2025-06-12 11:11:42,2,5,-64,7.70
2025-06-12 11:11:43,2,5,-66,7.96
2025-06-12 11:11:44,2,5,-64,7.93
2025-06-12 11:11:40,2,6,-68,9.78
2025-06-12 11:11:41,2,6,-66,9.81
2025-06-12 11:11:42,2,6,-64,9.49
2025-06-12 11:11:43,2,6,-64,9.23
2025-06-12 11:11:44,2,6,-68,9.58
2025-06-12 11:11:40,2,7,-79,35.38
2025-06-12 11:11:41,2,7,-74,34.76
2025-06-12 11:11:42,2,7,-77,35.11
2025-06-12 11:11:43,2,7,-78,35.69
2025-06-12 11:11:44,2,7,-79,36.48
2025-06-12 11:11:40,2,8,-75,33.64
2025-06-12 11:11:41,2,8,-73,32.79
2025-06-12 11:11:42,2,8,-73,32.04
2025-06-12 11:11:43,2,8,-71,30.58
2025-06-12 11:11:44,2,8,-73,30.05
Summary,2,1,-50,-51
Summary,2,2,-47,-48
Summary,2,3,-49,-51
Summary,2,4,-69,-71
Summary,2,5,-60,-63
Summary,2,6,-64,-66
Summary,2,7,-74,-77
Summary,2,8,-71,-73
