Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:09:01,2,1,-41,0.36
2025-06-12 11:09:02,2,1,-40,0.36
2025-06-12 11:09:03,2,1,-40,0.36
2025-06-12 11:09:04,2,1,-40,0.36
2025-06-12 11:09:05,2,1,-40,0.36
2025-06-12 11:09:01,2,2,-57,3.84
2025-06-12 11:09:02,2,2,-61,4.04
2025-06-12 11:09:03,2,2,-61,4.23
2025-06-12 11:09:04,2,2,-62,4.47
2025-06-12 11:09:05,2,2,-61,4.60
2025-06-12 11:09:01,2,3,-55,2.70
2025-06-12 11:09:03,2,3,-58,2.86
2025-06-12 11:09:04,2,3,-55,2.71
2025-06-12 11:09:05,2,3,-60,3.07
2025-06-12 11:09:01,2,4,-74,22.92
2025-06-12 11:09:02,2,4,-73,23.05
2025-06-12 11:09:03,2,4,-70,22.33
2025-06-12 11:09:04,2,4,-69,21.39
2025-06-12 11:09:05,2,4,-72,21.40
2025-06-12 11:09:01,2,5,-66,9.19
2025-06-12 11:09:02,2,5,-66,9.29
2025-06-12 11:09:03,2,5,-68,9.63
2025-06-12 11:09:04,2,5,-71,10.28
2025-06-12 11:09:05,2,5,-69,10.69
2025-06-12 11:09:01,2,6,-70,15.36
2025-06-12 11:09:02,2,6,-70,15.48
2025-06-12 11:09:03,2,6,-70,15.59
2025-06-12 11:09:04,2,6,-73,16.17
2025-06-12 11:09:05,2,6,-77,17.20
2025-06-12 11:09:05,2,7,-78,53.02
2025-06-12 11:09:01,2,8,-78,46.54
2025-06-12 11:09:02,2,8,-80,47.22
2025-06-12 11:09:03,2,8,-78,47.16
2025-06-12 11:09:04,2,8,-79,47.48
Summary,2,1,-40,-40
Summary,2,2,-57,-60
Summary,2,3,-55,-57
Summary,2,4,-69,-71
Summary,2,5,-66,-68
Summary,2,6,-70,-72
Summary,2,7,-78,-78
Summary,2,8,-78,-78
