Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:16:24,2,1,-55,2.61
2025-06-12 11:16:25,2,1,-57,2.77
2025-06-12 11:16:26,2,1,-56,2.77
2025-06-12 11:16:27,2,1,-58,2.94
2025-06-12 11:16:28,2,1,-56,2.90
2025-06-12 11:16:24,2,2,-52,1.86
2025-06-12 11:16:25,2,2,-51,1.74
2025-06-12 11:16:26,2,2,-54,1.83
2025-06-12 11:16:27,2,2,-55,1.97
2025-06-12 11:16:28,2,2,-55,2.07
2025-06-12 11:16:24,2,3,-45,0.70
2025-06-12 11:16:25,2,3,-51,0.88
2025-06-12 11:16:26,2,3,-49,0.96
2025-06-12 11:16:27,2,3,-48,0.97
2025-06-12 11:16:28,2,3,-49,1.02
2025-06-12 11:16:24,2,4,-65,8.14
2025-06-12 11:16:25,2,4,-65,8.23
2025-06-12 11:16:26,2,4,-64,8.16
2025-06-12 11:16:27,2,4,-66,8.37
2025-06-12 11:16:28,2,4,-65,8.43
2025-06-12 11:16:24,2,5,-55,3.32
2025-06-12 11:16:25,2,5,-56,3.20
2025-06-12 11:16:26,2,5,-55,3.01
2025-06-12 11:16:27,2,5,-57,3.04
2025-06-12 11:16:28,2,5,-54,2.80
2025-06-12 11:16:24,2,6,-62,5.54
2025-06-12 11:16:25,2,6,-62,5.64
2025-06-12 11:16:26,2,6,-68,6.35
2025-06-12 11:16:27,2,6,-68,7.01
2025-06-12 11:16:28,2,6,-66,7.40
2025-06-12 11:16:24,2,7,-71,22.96
2025-06-12 11:16:25,2,7,-68,21.61
2025-06-12 11:16:26,2,7,-69,20.81
2025-06-12 11:16:27,2,7,-70,20.39
2025-06-12 11:16:28,2,7,-70,20.02
2025-06-12 11:16:24,2,8,-76,24.71
2025-06-12 11:16:25,2,8,-73,24.69
2025-06-12 11:16:26,2,8,-62,19.76
2025-06-12 11:16:27,2,8,-62,16.64
2025-06-12 11:16:28,2,8,-62,14.47
Summary,2,1,-55,-56
Summary,2,2,-51,-53
Summary,2,3,-45,-48
Summary,2,4,-64,-65
Summary,2,5,-54,-55
Summary,2,6,-62,-65
Summary,2,7,-68,-69
Summary,2,8,-62,-67
