Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:44:26,2,2,-73,27.43
2025-06-12 11:44:27,2,2,-72,26.85
2025-06-12 11:44:28,2,2,-85,28.56
2025-06-12 11:44:29,2,2,-81,29.92
2025-06-12 11:44:30,2,2,-81,31.28
2025-06-12 11:44:31,2,2,-81,32.64
2025-06-12 11:44:26,2,3,-72,8.73
2025-06-12 11:44:27,2,3,-73,9.62
2025-06-12 11:44:28,2,3,-74,10.59
2025-06-12 11:44:29,2,3,-78,11.82
2025-06-12 11:44:30,2,3,-75,12.86
2025-06-12 11:44:31,2,3,-72,13.55
2025-06-12 11:44:26,2,4,-66,13.04
2025-06-12 11:44:27,2,4,-65,12.36
2025-06-12 11:44:28,2,4,-65,11.81
2025-06-12 11:44:29,2,4,-65,11.37
2025-06-12 11:44:30,2,4,-65,11.00
2025-06-12 11:44:31,2,4,-65,10.69
2025-06-12 11:44:26,2,5,-48,0.74
2025-06-12 11:44:27,2,5,-50,0.89
2025-06-12 11:44:28,2,5,-41,0.62
2025-06-12 11:44:29,2,5,-46,0.67
2025-06-12 11:44:30,2,5,-46,0.71
2025-06-12 11:44:31,2,5,-42,0.59
2025-06-12 11:44:26,2,6,-52,1.01
2025-06-12 11:44:27,2,6,-51,1.15
2025-06-12 11:44:28,2,6,-51,1.24
2025-06-12 11:44:29,2,6,-50,1.26
2025-06-12 11:44:30,2,6,-51,1.32
2025-06-12 11:44:31,2,6,-51,1.36
2025-06-12 11:44:26,2,7,-65,5.94
2025-06-12 11:44:27,2,7,-63,6.07
2025-06-12 11:44:28,2,7,-65,6.39
2025-06-12 11:44:29,2,7,-65,6.67
2025-06-12 11:44:30,2,7,-65,6.93
2025-06-12 11:44:31,2,7,-65,7.17
2025-06-12 11:44:26,2,8,-61,8.77
2025-06-12 11:44:27,2,8,-63,8.47
2025-06-12 11:44:28,2,8,-66,8.64
2025-06-12 11:44:29,2,8,-62,8.18
2025-06-12 11:44:30,2,8,-62,7.81
2025-06-12 11:44:31,2,8,-64,7.80
Summary,2,2,-72,-78
Summary,2,3,-72,-74
Summary,2,4,-65,-65
Summary,2,5,-41,-45
Summary,2,6,-50,-51
Summary,2,7,-63,-64
Summary,2,8,-61,-63
