Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:52:06,2,1,-79,34.27
2025-06-12 11:52:07,2,1,-79,35.18
2025-06-12 11:52:08,2,1,-76,35.24
2025-06-12 11:52:09,2,1,-77,35.59
2025-06-12 11:52:10,2,1,-77,35.92
2025-06-12 11:52:06,2,2,-77,22.21
2025-06-12 11:52:07,2,2,-75,22.83
2025-06-12 11:52:08,2,2,-79,24.06
2025-06-12 11:52:09,2,2,-78,25.13
2025-06-12 11:52:10,2,2,-77,26.01
2025-06-12 11:52:06,2,3,-78,22.25
2025-06-12 11:52:07,2,3,-80,23.75
2025-06-12 11:52:08,2,3,-73,23.82
2025-06-12 11:52:09,2,3,-71,23.25
2025-06-12 11:52:10,2,3,-71,22.77
2025-06-12 11:52:06,2,4,-77,25.20
2025-06-12 11:52:07,2,4,-75,25.62
2025-06-12 11:52:08,2,4,-77,26.43
2025-06-12 11:52:09,2,4,-76,27.01
2025-06-12 11:52:10,2,4,-78,27.95
2025-06-12 11:52:06,2,5,-59,3.89
2025-06-12 11:52:07,2,5,-60,4.02
2025-06-12 11:52:08,2,5,-55,3.58
2025-06-12 11:52:09,2,5,-56,3.39
2025-06-12 11:52:10,2,5,-54,3.04
2025-06-12 11:52:06,2,6,-47,1.21
2025-06-12 11:52:07,2,6,-47,1.09
2025-06-12 11:52:08,2,6,-50,1.15
2025-06-12 11:52:09,2,6,-51,1.23
2025-06-12 11:52:10,2,6,-50,1.25
2025-06-12 11:52:06,2,7,-52,1.44
2025-06-12 11:52:07,2,7,-53,1.56
2025-06-12 11:52:08,2,7,-48,1.33
2025-06-12 11:52:09,2,7,-46,1.09
2025-06-12 11:52:10,2,7,-46,0.97
2025-06-12 11:52:06,2,8,-54,1.36
2025-06-12 11:52:07,2,8,-49,1.28
2025-06-12 11:52:08,2,8,-55,1.51
2025-06-12 11:52:09,2,8,-52,1.55
2025-06-12 11:52:10,2,8,-47,1.27
Summary,2,1,-76,-77
Summary,2,2,-75,-77
Summary,2,3,-71,-74
Summary,2,4,-75,-76
Summary,2,5,-54,-56
Summary,2,6,-47,-49
Summary,2,7,-46,-49
Summary,2,8,-47,-51
