Time,Major,Minor,RSSI,Accuracy
2025-06-12 11:16:08,2,1,-59,3.77
2025-06-12 11:16:09,2,1,-58,3.74
2025-06-12 11:16:10,2,1,-56,3.50
2025-06-12 11:16:11,2,1,-57,3.43
2025-06-12 11:16:12,2,1,-58,3.46
2025-06-12 11:16:08,2,2,-51,1.60
2025-06-12 11:16:09,2,2,-51,1.56
2025-06-12 11:16:10,2,2,-50,1.48
2025-06-12 11:16:11,2,2,-50,1.42
2025-06-12 11:16:12,2,2,-50,1.38
2025-06-12 11:16:08,2,3,-47,0.82
2025-06-12 11:16:09,2,3,-46,0.80
2025-06-12 11:16:10,2,3,-47,0.83
2025-06-12 11:16:11,2,3,-49,0.92
2025-06-12 11:16:12,2,3,-48,0.95
2025-06-12 11:16:08,2,4,-63,11.04
2025-06-12 11:16:09,2,4,-64,10.54
2025-06-12 11:16:10,2,4,-65,10.31
2025-06-12 11:16:11,2,4,-69,10.67
2025-06-12 11:16:12,2,4,-63,10.01
2025-06-12 11:16:08,2,5,-62,3.59
2025-06-12 11:16:09,2,5,-61,3.84
2025-06-12 11:16:10,2,5,-60,3.98
2025-06-12 11:16:11,2,5,-60,4.09
2025-06-12 11:16:12,2,5,-58,3.99
2025-06-12 11:16:08,2,6,-65,4.78
2025-06-12 11:16:09,2,6,-64,5.14
2025-06-12 11:16:10,2,6,-63,5.37
2025-06-12 11:16:11,2,6,-65,5.76
2025-06-12 11:16:12,2,6,-65,6.11
2025-06-12 11:16:08,2,7,-74,21.71
2025-06-12 11:16:09,2,7,-76,22.58
2025-06-12 11:16:10,2,7,-76,23.41
2025-06-12 11:16:11,2,7,-78,24.54
2025-06-12 11:16:12,2,7,-77,25.47
2025-06-12 11:16:08,2,8,-76,23.63
2025-06-12 11:16:09,2,8,-76,24.34
2025-06-12 11:16:10,2,8,-76,25.03
2025-06-12 11:16:11,2,8,-77,25.87
2025-06-12 11:16:12,2,8,-76,26.48
Summary,2,1,-56,-57
Summary,2,2,-50,-50
Summary,2,3,-46,-47
Summary,2,4,-63,-64
Summary,2,5,-58,-60
Summary,2,6,-63,-64
Summary,2,7,-74,-76
Summary,2,8,-76,-76
