Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:46:46,1,1,-57,2.86
2025-06-13 15:46:47,1,1,-56,2.85
2025-06-13 15:46:48,1,1,-52,2.46
2025-06-13 15:46:49,1,1,-51,2.14
2025-06-13 15:46:50,1,1,-55,2.20
2025-06-13 15:46:46,1,2,-55,2.84
2025-06-13 15:46:47,1,2,-53,2.56
2025-06-13 15:46:48,1,2,-51,2.20
2025-06-13 15:46:49,1,2,-51,1.97
2025-06-13 15:46:50,1,2,-52,1.89
2025-06-13 15:46:46,1,3,-60,4.86
2025-06-13 15:46:47,1,3,-58,4.58
2025-06-13 15:46:48,1,3,-63,4.86
2025-06-13 15:46:49,1,3,-67,5.40
2025-06-13 15:46:50,1,3,-68,5.99
2025-06-13 15:46:46,1,4,-56,3.07
2025-06-13 15:46:47,1,4,-58,3.17
2025-06-13 15:46:48,1,4,-59,3.33
2025-06-13 15:46:49,1,4,-59,3.46
2025-06-13 15:46:50,1,4,-60,3.66
Summary,1,1,-51,-54
Summary,1,2,-51,-52
Summary,1,3,-58,-63
Summary,1,4,-56,-58
