Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:39:54,1,1,-58,5.62
2025-06-13 15:39:55,1,1,-59,5.31
2025-06-13 15:39:56,1,1,-59,5.07
2025-06-13 15:39:57,1,1,-58,4.75
2025-06-13 15:39:58,1,1,-58,4.51
2025-06-13 15:39:54,1,2,-60,5.74
2025-06-13 15:39:55,1,2,-62,5.78
2025-06-13 15:39:56,1,2,-62,5.81
2025-06-13 15:39:57,1,2,-60,5.58
2025-06-13 15:39:58,1,2,-59,5.27
2025-06-13 15:39:54,1,3,-57,2.54
2025-06-13 15:39:55,1,3,-60,2.85
2025-06-13 15:39:56,1,3,-61,3.19
2025-06-13 15:39:57,1,3,-62,3.56
2025-06-13 15:39:58,1,3,-61,3.83
2025-06-13 15:39:54,1,4,-42,0.81
2025-06-13 15:39:55,1,4,-44,0.72
2025-06-13 15:39:56,1,4,-45,0.71
2025-06-13 15:39:57,1,4,-44,0.66
2025-06-13 15:39:58,1,4,-44,0.64
Summary,1,1,-58,-58
Summary,1,2,-59,-60
Summary,1,3,-57,-60
Summary,1,4,-42,-43
