Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:45:11,1,1,-59,3.08
2025-06-13 15:45:12,1,1,-60,3.37
2025-06-13 15:45:13,1,1,-59,3.52
2025-06-13 15:45:14,1,1,-59,3.63
2025-06-13 15:45:15,1,1,-61,3.89
2025-06-13 15:45:11,1,2,-53,1.87
2025-06-13 15:45:12,1,2,-53,1.88
2025-06-13 15:45:13,1,2,-53,1.88
2025-06-13 15:45:14,1,2,-53,1.89
2025-06-13 15:45:15,1,2,-53,1.89
2025-06-13 15:45:11,1,3,-63,6.21
2025-06-13 15:45:12,1,3,-63,6.30
2025-06-13 15:45:13,1,3,-60,5.96
2025-06-13 15:45:14,1,3,-61,5.84
2025-06-13 15:45:15,1,3,-60,5.62
2025-06-13 15:45:11,1,4,-54,2.22
2025-06-13 15:45:12,1,4,-56,2.33
2025-06-13 15:45:13,1,4,-56,2.43
2025-06-13 15:45:14,1,4,-56,2.50
Summary,1,1,-59,-59
Summary,1,2,-53,-53
Summary,1,3,-60,-61
Summary,1,4,-54,-55
