Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:43:05,1,1,-56,2.52
2025-06-13 15:43:06,1,1,-56,2.58
2025-06-13 15:43:07,1,1,-56,2.63
2025-06-13 15:43:09,1,1,-59,2.86
2025-06-13 15:43:05,1,2,-48,1.15
2025-06-13 15:43:06,1,2,-48,1.10
2025-06-13 15:43:07,1,2,-50,1.15
2025-06-13 15:43:08,1,2,-50,1.20
2025-06-13 15:43:09,1,2,-49,1.18
2025-06-13 15:43:05,1,3,-58,4.87
2025-06-13 15:43:06,1,3,-60,4.83
2025-06-13 15:43:07,1,3,-58,4.55
2025-06-13 15:43:08,1,3,-58,4.35
2025-06-13 15:43:09,1,3,-58,4.19
2025-06-13 15:43:05,1,4,-60,3.17
2025-06-13 15:43:06,1,4,-57,3.17
2025-06-13 15:43:07,1,4,-56,3.08
2025-06-13 15:43:08,1,4,-57,3.10
2025-06-13 15:43:09,1,4,-57,3.11
Summary,1,1,-56,-56
Summary,1,2,-48,-49
Summary,1,3,-58,-58
Summary,1,4,-56,-57
