Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:20:49,1,1,-46,0.82
2025-06-13 15:20:50,1,1,-46,0.81
2025-06-13 15:20:51,1,1,-46,0.79
2025-06-13 15:20:52,1,1,-47,0.82
2025-06-13 15:20:53,1,1,-48,0.88
2025-06-13 15:20:49,1,2,-56,2.97
2025-06-13 15:20:50,1,2,-55,2.84
2025-06-13 15:20:51,1,2,-55,2.75
2025-06-13 15:20:52,1,2,-55,2.68
2025-06-13 15:20:53,1,2,-54,2.54
2025-06-13 15:20:49,1,3,-56,5.33
2025-06-13 15:20:50,1,3,-57,4.80
2025-06-13 15:20:51,1,3,-59,4.67
2025-06-13 15:20:52,1,3,-62,4.85
2025-06-13 15:20:53,1,3,-65,5.25
2025-06-13 15:20:49,1,4,-53,2.32
2025-06-13 15:20:50,1,4,-55,2.35
2025-06-13 15:20:51,1,4,-56,2.44
2025-06-13 15:20:52,1,4,-56,2.51
2025-06-13 15:20:53,1,4,-56,2.57
Summary,1,1,-46,-46
Summary,1,2,-54,-55
Summary,1,3,-56,-59
Summary,1,4,-53,-55
