Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:13:20,1,1,-56,2.71
2025-06-13 15:13:21,1,1,-56,2.73
2025-06-13 15:13:22,1,1,-56,2.74
2025-06-13 15:13:23,1,1,-56,2.75
2025-06-13 15:13:24,1,1,-55,2.68
2025-06-13 15:13:20,1,2,-49,1.21
2025-06-13 15:13:21,1,2,-47,1.03
2025-06-13 15:13:22,1,2,-47,0.96
2025-06-13 15:13:23,1,2,-49,1.02
2025-06-13 15:13:24,1,2,-49,1.06
2025-06-13 15:13:20,1,3,-60,4.31
2025-06-13 15:13:21,1,3,-59,4.27
2025-06-13 15:13:22,1,3,-59,4.23
2025-06-13 15:13:23,1,3,-58,4.10
2025-06-13 15:13:24,1,3,-58,4.00
2025-06-13 15:13:20,1,4,-51,1.90
2025-06-13 15:13:21,1,4,-50,1.69
2025-06-13 15:13:22,1,4,-50,1.56
2025-06-13 15:13:23,1,4,-59,1.88
2025-06-13 15:13:24,1,4,-54,1.95
Summary,1,1,-55,-55
Summary,1,2,-47,-48
Summary,1,3,-58,-58
Summary,1,4,-50,-52
