Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:40:56,1,1,-65,7.50
2025-06-13 15:40:57,1,1,-69,8.06
2025-06-13 15:40:58,1,1,-75,8.99
2025-06-13 15:40:59,1,1,-76,10.03
2025-06-13 15:41:00,1,1,-73,10.89
2025-06-13 15:40:56,1,2,-53,3.24
2025-06-13 15:40:57,1,2,-53,2.86
2025-06-13 15:40:58,1,2,-52,2.50
2025-06-13 15:40:59,1,2,-59,2.73
2025-06-13 15:41:00,1,2,-58,2.88
2025-06-13 15:40:56,1,3,-51,1.31
2025-06-13 15:40:57,1,3,-54,1.49
2025-06-13 15:40:58,1,3,-55,1.69
2025-06-13 15:40:59,1,3,-56,1.90
2025-06-13 15:41:00,1,3,-56,2.08
2025-06-13 15:40:56,1,4,-46,0.75
2025-06-13 15:40:57,1,4,-45,0.72
2025-06-13 15:40:58,1,4,-45,0.71
2025-06-13 15:40:59,1,4,-46,0.73
2025-06-13 15:41:00,1,4,-47,0.78
Summary,1,1,-65,-71
Summary,1,2,-52,-55
Summary,1,3,-51,-54
Summary,1,4,-45,-45
