Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:09:39,1,1,-55,2.67
2025-06-13 15:09:40,1,1,-55,2.62
2025-06-13 15:09:41,1,1,-52,2.32
2025-06-13 15:09:42,1,1,-54,2.28
2025-06-13 15:09:43,1,1,-57,2.44
2025-06-13 15:09:39,1,2,-59,3.37
2025-06-13 15:09:40,1,2,-57,3.33
2025-06-13 15:09:41,1,2,-58,3.38
2025-06-13 15:09:42,1,2,-58,3.42
2025-06-13 15:09:43,1,2,-57,3.36
2025-06-13 15:09:39,1,3,-42,0.50
2025-06-13 15:09:40,1,3,-42,0.48
2025-06-13 15:09:41,1,3,-43,0.50
2025-06-13 15:09:42,1,3,-42,0.48
2025-06-13 15:09:43,1,3,-43,0.50
2025-06-13 15:09:39,1,4,-50,1.36
2025-06-13 15:09:40,1,4,-52,1.44
2025-06-13 15:09:41,1,4,-52,1.50
2025-06-13 15:09:42,1,4,-52,1.54
2025-06-13 15:09:43,1,4,-53,1.63
Summary,1,1,-52,-54
Summary,1,2,-57,-57
Summary,1,3,-42,-42
Summary,1,4,-50,-51
