Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:45:31,1,1,-64,6.55
2025-06-13 15:45:32,1,1,-64,6.71
2025-06-13 15:45:33,1,1,-64,6.86
2025-06-13 15:45:34,1,1,-63,6.85
2025-06-13 15:45:35,1,1,-63,6.84
2025-06-13 15:45:31,1,2,-53,2.09
2025-06-13 15:45:32,1,2,-51,1.89
2025-06-13 15:45:33,1,2,-59,2.19
2025-06-13 15:45:34,1,2,-53,2.11
2025-06-13 15:45:35,1,2,-52,1.98
2025-06-13 15:45:31,1,3,-64,7.30
2025-06-13 15:45:32,1,3,-64,7.36
2025-06-13 15:45:33,1,3,-64,7.41
2025-06-13 15:45:34,1,3,-70,8.06
2025-06-13 15:45:35,1,3,-63,7.86
2025-06-13 15:45:31,1,4,-57,2.97
2025-06-13 15:45:32,1,4,-57,3.01
2025-06-13 15:45:33,1,4,-58,3.12
2025-06-13 15:45:34,1,4,-58,3.21
2025-06-13 15:45:35,1,4,-58,3.28
Summary,1,1,-63,-63
Summary,1,2,-51,-53
Summary,1,3,-63,-65
Summary,1,4,-57,-57
