Time,Major,Minor,RSSI,Accuracy
2025-06-13 14:58:59,1,1,-68,8.06
2025-06-13 14:59:00,1,1,-69,8.63
2025-06-13 14:59:01,1,1,-67,8.94
2025-06-13 14:59:02,1,1,-67,9.21
2025-06-13 14:59:03,1,1,-67,9.46
2025-06-13 14:58:59,1,2,-58,5.03
2025-06-13 14:59:00,1,2,-64,5.34
2025-06-13 14:59:01,1,2,-65,5.72
2025-06-13 14:59:02,1,2,-63,5.88
2025-06-13 14:59:03,1,2,-69,6.51
2025-06-13 14:58:59,1,3,-60,3.83
2025-06-13 14:59:00,1,3,-61,4.03
2025-06-13 14:59:02,1,3,-63,4.37
2025-06-13 14:59:03,1,3,-64,4.92
2025-06-13 14:58:59,1,4,-43,0.94
2025-06-13 14:59:00,1,4,-44,0.80
2025-06-13 14:59:01,1,4,-43,0.68
2025-06-13 14:59:02,1,4,-42,0.58
2025-06-13 14:59:03,1,4,-42,0.53
Summary,1,1,-67,-67
Summary,1,2,-58,-63
Summary,1,3,-60,-62
Summary,1,4,-42,-42
