Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:43:43,1,1,-60,3.72
2025-06-13 15:43:44,1,1,-62,4.03
2025-06-13 15:43:45,1,1,-62,4.31
2025-06-13 15:43:46,1,1,-66,4.83
2025-06-13 15:43:47,1,1,-60,4.80
2025-06-13 15:43:48,1,1,-69,5.47
2025-06-13 15:43:43,1,2,-61,4.97
2025-06-13 15:43:44,1,2,-61,5.02
2025-06-13 15:43:45,1,2,-62,5.17
2025-06-13 15:43:46,1,2,-65,5.56
2025-06-13 15:43:47,1,2,-62,5.63
2025-06-13 15:43:48,1,2,-59,5.30
2025-06-13 15:43:43,1,3,-55,2.31
2025-06-13 15:43:44,1,3,-54,2.27
2025-06-13 15:43:45,1,3,-54,2.24
2025-06-13 15:43:46,1,3,-56,2.35
2025-06-13 15:43:47,1,3,-55,2.38
2025-06-13 15:43:48,1,3,-57,2.53
2025-06-13 15:43:43,1,4,-54,2.68
2025-06-13 15:43:44,1,4,-57,2.77
2025-06-13 15:43:45,1,4,-56,2.77
2025-06-13 15:43:46,1,4,-58,2.92
2025-06-13 15:43:47,1,4,-60,3.18
2025-06-13 15:43:48,1,4,-59,3.34
Summary,1,1,-60,-63
Summary,1,2,-59,-61
Summary,1,3,-54,-55
Summary,1,4,-54,-57
