Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:21:02,1,1,-48,1.01
2025-06-13 15:21:03,1,1,-51,1.13
2025-06-13 15:21:04,1,1,-49,1.13
2025-06-13 15:21:05,1,1,-47,1.04
2025-06-13 15:21:06,1,1,-52,1.18
2025-06-13 15:21:02,1,2,-54,2.47
2025-06-13 15:21:03,1,2,-53,2.31
2025-06-13 15:21:04,1,2,-53,2.20
2025-06-13 15:21:05,1,2,-56,2.31
2025-06-13 15:21:06,1,2,-55,2.34
2025-06-13 15:21:02,1,3,-65,5.89
2025-06-13 15:21:03,1,3,-65,6.36
2025-06-13 15:21:04,1,3,-64,6.60
2025-06-13 15:21:05,1,3,-68,7.25
2025-06-13 15:21:06,1,3,-64,7.33
2025-06-13 15:21:02,1,4,-53,1.66
2025-06-13 15:21:03,1,4,-53,1.72
2025-06-13 15:21:04,1,4,-52,1.71
2025-06-13 15:21:05,1,4,-53,1.75
2025-06-13 15:21:06,1,4,-52,1.73
Summary,1,1,-47,-49
Summary,1,2,-53,-54
Summary,1,3,-64,-65
Summary,1,4,-52,-52
