Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:41:21,1,1,-63,8.83
2025-06-13 15:41:22,1,1,-62,8.31
2025-06-13 15:41:23,1,1,-63,8.08
2025-06-13 15:41:24,1,1,-66,8.29
2025-06-13 15:41:25,1,1,-66,8.48
2025-06-13 15:41:21,1,2,-59,3.62
2025-06-13 15:41:22,1,2,-61,3.93
2025-06-13 15:41:23,1,2,-59,3.96
2025-06-13 15:41:24,1,2,-58,3.88
2025-06-13 15:41:25,1,2,-58,3.82
2025-06-13 15:41:21,1,3,-47,0.93
2025-06-13 15:41:22,1,3,-49,0.99
2025-06-13 15:41:23,1,3,-47,0.95
2025-06-13 15:41:24,1,3,-47,0.92
2025-06-13 15:41:25,1,3,-47,0.91
2025-06-13 15:41:21,1,4,-45,0.75
2025-06-13 15:41:22,1,4,-46,0.76
2025-06-13 15:41:23,1,4,-45,0.73
2025-06-13 15:41:24,1,4,-46,0.74
2025-06-13 15:41:25,1,4,-45,0.72
Summary,1,1,-62,-64
Summary,1,2,-58,-59
Summary,1,3,-47,-47
Summary,1,4,-45,-45
