Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:07:48,1,1,-67,11.50
2025-06-13 15:07:49,1,1,-65,11.09
2025-06-13 15:07:50,1,1,-62,10.06
2025-06-13 15:07:51,1,1,-61,9.06
2025-06-13 15:07:52,1,1,-65,9.03
2025-06-13 15:07:48,1,2,-58,3.14
2025-06-13 15:07:49,1,2,-60,3.37
2025-06-13 15:07:50,1,2,-59,3.50
2025-06-13 15:07:51,1,2,-58,3.52
2025-06-13 15:07:52,1,2,-57,3.44
2025-06-13 15:07:48,1,3,-40,0.36
2025-06-13 15:07:49,1,3,-39,0.34
2025-06-13 15:07:50,1,3,-39,0.33
2025-06-13 15:07:51,1,3,-40,0.34
2025-06-13 15:07:52,1,3,-39,0.33
2025-06-13 15:07:48,1,4,-48,1.12
2025-06-13 15:07:49,1,4,-49,1.13
2025-06-13 15:07:50,1,4,-50,1.17
2025-06-13 15:07:51,1,4,-50,1.21
2025-06-13 15:07:52,1,4,-50,1.23
Summary,1,1,-61,-64
Summary,1,2,-57,-58
Summary,1,3,-39,-39
Summary,1,4,-48,-49
