Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:16:59,1,1,-56,3.27
2025-06-13 15:17:00,1,1,-57,3.24
2025-06-13 15:17:01,1,1,-60,3.46
2025-06-13 15:17:02,1,1,-57,3.39
2025-06-13 15:17:03,1,1,-55,3.15
2025-06-13 15:16:59,1,2,-48,1.16
2025-06-13 15:17:00,1,2,-48,1.10
2025-06-13 15:17:01,1,2,-51,1.20
2025-06-13 15:17:02,1,2,-50,1.23
2025-06-13 15:17:03,1,2,-51,1.29
2025-06-13 15:16:59,1,3,-64,8.29
2025-06-13 15:17:00,1,3,-62,7.88
2025-06-13 15:17:02,1,3,-64,7.86
2025-06-13 15:17:03,1,3,-64,7.84
2025-06-13 15:16:59,1,4,-54,2.45
2025-06-13 15:17:00,1,4,-52,2.21
2025-06-13 15:17:01,1,4,-56,2.32
2025-06-13 15:17:02,1,4,-57,2.48
2025-06-13 15:17:03,1,4,-54,2.39
Summary,1,1,-55,-57
Summary,1,2,-48,-49
Summary,1,3,-62,-63
Summary,1,4,-52,-54
