Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:11:51,1,1,-57,2.62
2025-06-13 15:11:52,1,1,-57,2.73
2025-06-13 15:11:53,1,1,-58,2.89
2025-06-13 15:11:54,1,1,-57,2.95
2025-06-13 15:11:55,1,1,-58,3.07
2025-06-13 15:11:51,1,2,-52,3.30
2025-06-13 15:11:52,1,2,-53,2.90
2025-06-13 15:11:53,1,2,-57,2.95
2025-06-13 15:11:54,1,2,-60,3.18
2025-06-13 15:11:55,1,2,-60,3.40
2025-06-13 15:11:51,1,3,-48,1.27
2025-06-13 15:11:52,1,3,-49,1.23
2025-06-13 15:11:53,1,3,-50,1.25
2025-06-13 15:11:54,1,3,-50,1.26
2025-06-13 15:11:55,1,3,-49,1.22
2025-06-13 15:11:51,1,4,-57,3.93
2025-06-13 15:11:52,1,4,-54,3.43
2025-06-13 15:11:53,1,4,-55,3.20
2025-06-13 15:11:54,1,4,-55,3.02
2025-06-13 15:11:55,1,4,-55,2.88
Summary,1,1,-57,-57
Summary,1,2,-52,-56
Summary,1,3,-48,-49
Summary,1,4,-54,-55
