Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:35:39,1,1,-57,3.59
2025-06-13 15:35:40,1,1,-58,3.59
2025-06-13 15:35:41,1,1,-59,3.68
2025-06-13 15:35:42,1,1,-58,3.66
2025-06-13 15:35:43,1,1,-57,3.55
2025-06-13 15:35:39,1,2,-58,4.40
2025-06-13 15:35:40,1,2,-58,4.23
2025-06-13 15:35:41,1,2,-59,4.20
2025-06-13 15:35:42,1,2,-58,4.08
2025-06-13 15:35:43,1,2,-58,3.98
2025-06-13 15:35:39,1,3,-60,3.42
2025-06-13 15:35:40,1,3,-61,3.69
2025-06-13 15:35:41,1,3,-59,3.76
2025-06-13 15:35:42,1,3,-59,3.82
2025-06-13 15:35:43,1,3,-58,3.77
2025-06-13 15:35:39,1,4,-43,0.48
2025-06-13 15:35:40,1,4,-41,0.45
2025-06-13 15:35:41,1,4,-41,0.43
2025-06-13 15:35:42,1,4,-41,0.42
2025-06-13 15:35:43,1,4,-40,0.39
Summary,1,1,-57,-57
Summary,1,2,-58,-58
Summary,1,3,-58,-59
Summary,1,4,-40,-41
