Time,Major,Minor,RSSI,Accuracy
2025-06-13 15:13:54,1,1,-55,2.16
2025-06-13 15:13:55,1,1,-54,2.16
2025-06-13 15:13:56,1,1,-55,2.22
2025-06-13 15:13:57,1,1,-56,2.34
2025-06-13 15:13:58,1,1,-56,2.43
2025-06-13 15:13:54,1,2,-64,3.88
2025-06-13 15:13:55,1,2,-58,3.82
2025-06-13 15:13:56,1,2,-58,3.77
2025-06-13 15:13:57,1,2,-60,3.91
2025-06-13 15:13:58,1,2,-58,3.85
2025-06-13 15:13:54,1,3,-52,2.00
2025-06-13 15:13:55,1,3,-52,1.91
2025-06-13 15:13:56,1,3,-52,1.84
2025-06-13 15:13:57,1,3,-52,1.79
2025-06-13 15:13:58,1,3,-53,1.82
2025-06-13 15:13:54,1,4,-50,1.62
2025-06-13 15:13:55,1,4,-51,1.57
2025-06-13 15:13:56,1,4,-52,1.60
2025-06-13 15:13:57,1,4,-51,1.56
2025-06-13 15:13:58,1,4,-52,1.59
Summary,1,1,-54,-55
Summary,1,2,-58,-59
Summary,1,3,-52,-52
Summary,1,4,-50,-51
